api-1  | {"correlation_id": "019d5c2e-9cd5-7b0f-9de1-4de557a214ff", "event_id": "UUID('019d5c2e-9ce5-76e8-867f-a449e1bf5067')", "total_latency_ms": 153.8, "db_insert_ms": 96.9, "redis_enqueue_ms": 152.8, "idempotency_set_ms": 153.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.088128Z"}
api-2  | {"correlation_id": "019d5c2e-a49c-75b9-b448-06b199f18229", "event_id": "UUID('019d5c2e-a4a1-7d23-b5ce-6f8ea2784615')", "total_latency_ms": 294.18, "db_insert_ms": 292.3, "redis_enqueue_ms": 292.7, "idempotency_set_ms": 294.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.213893Z"}
api-2  | {"correlation_id": "019d5c2e-a50c-75cf-b15c-b3b7115ffbd5", "event_id": "UUID('019d5c2e-a517-74ab-afba-5a801ce9487b')", "total_latency_ms": 203.15, "db_insert_ms": 199.2, "redis_enqueue_ms": 200.9, "idempotency_set_ms": 203.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.236315Z"}
api-2  | {"correlation_id": "019d5c2e-a8f7-7765-bc8b-9d480ee11839", "event_id": "UUID('019d5c2e-a8fc-77fb-962b-43bfde2ab222')", "total_latency_ms": 86.5, "db_insert_ms": 85.0, "redis_enqueue_ms": 85.9, "idempotency_set_ms": 86.5, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.120485Z"}
api-2  | {"correlation_id": "019d5c2e-a891-7b34-abc9-3deec73a5298", "event_id": "UUID('019d5c2e-a89a-7ef0-8a0a-376aa65549a1')", "total_latency_ms": 187.34, "db_insert_ms": 186.2, "redis_enqueue_ms": 186.9, "idempotency_set_ms": 187.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.123450Z"}
api-2  | {"correlation_id": "019d5c2e-a8f6-711e-a28c-9a0a85334a37", "event_id": "UUID('019d5c2e-a8fd-705d-8fdb-85fe941b9a25')", "total_latency_ms": 112.09, "db_insert_ms": 110.1, "redis_enqueue_ms": 111.3, "idempotency_set_ms": 112.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.145420Z"}
api-2  | {"correlation_id": "019d5c2e-a9e7-79a8-a674-ca345fccf7a0", "event_id": "UUID('019d5c2e-a9f4-7f7f-8b39-8e267984d210')", "total_latency_ms": 99.7, "redis_enqueue_ms": 94.7, "idempotency_set_ms": 99.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.377516Z"}
api-3  | {"correlation_id": "019d5c2e-ab11-7d9d-8926-5166e038fd57", "event_id": "UUID('019d5c2e-ab1c-7d7b-ae98-0b2509521a8f')", "total_latency_ms": 109.5, "db_insert_ms": 107.8, "redis_enqueue_ms": 108.7, "idempotency_set_ms": 109.5, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.684436Z"}
api-3  | {"correlation_id": "019d5c2e-acb8-7312-b51d-57c57700c69f", "event_id": "UUID('019d5c2e-accf-79b9-9896-a6564d624b98')", "total_latency_ms": 366.16, "db_insert_ms": 237.3, "redis_enqueue_ms": 364.4, "idempotency_set_ms": 366.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.375894Z"}
api-3  | {"correlation_id": "019d5c2e-acab-7dca-a48b-fb59d888aa06", "event_id": "UUID('019d5c2e-acb4-7e99-920f-35323db768db')", "total_latency_ms": 390.16, "db_insert_ms": 259.8, "redis_enqueue_ms": 387.5, "idempotency_set_ms": 390.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.376991Z"}
api-3  | {"correlation_id": "019d5c2e-aca9-74b8-b6e4-e9748ffa35af", "event_id": "UUID('019d5c2e-acbd-7265-83ca-d6e4af2731e3')", "total_latency_ms": 475.97, "db_insert_ms": 351.5, "redis_enqueue_ms": 353.5, "idempotency_set_ms": 476.0, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.460134Z"}
api-3  | {"correlation_id": "019d5c2e-aca6-799b-ad0e-07d2bd449b25", "event_id": "UUID('019d5c2e-acb8-73db-b78b-a6e08dc2953f')", "total_latency_ms": 483.12, "db_insert_ms": 481.7, "redis_enqueue_ms": 482.1, "idempotency_set_ms": 483.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.462245Z"}
api-3  | {"correlation_id": "019d5c2e-ae65-7fd9-88a0-02af70137d31", "event_id": "UUID('019d5c2e-ae6c-7c60-a3c8-a84d276970b7')", "total_latency_ms": 88.77, "db_insert_ms": 86.5, "redis_enqueue_ms": 87.4, "idempotency_set_ms": 88.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.511398Z"}
api-3  | {"correlation_id": "019d5c2e-acec-7115-b0e1-42c31b7ef3d7", "event_id": "UUID('019d5c2e-acf1-73c7-868e-2b93626ad8b9')", "total_latency_ms": 510.63, "db_insert_ms": 502.5, "redis_enqueue_ms": 507.8, "idempotency_set_ms": 510.6, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.558751Z"}
api-3  | {"correlation_id": "019d5c2e-ad11-7ffb-8d74-2df04c19d55f", "event_id": "UUID('019d5c2e-ad16-7b99-a161-915421ad7835')", "total_latency_ms": 486.95, "db_insert_ms": 470.9, "redis_enqueue_ms": 484.8, "idempotency_set_ms": 486.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.571077Z"}
api-3  | {"correlation_id": "019d5c2e-aed5-71ea-9807-c7a7cac78a8a", "event_id": "UUID('019d5c2e-aedb-7f66-94a6-42988c4e1ff4')", "total_latency_ms": 92.35, "db_insert_ms": 90.1, "redis_enqueue_ms": 91.4, "idempotency_set_ms": 92.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.630674Z"}
api-3  | {"correlation_id": "019d5c2e-aeec-7c9e-a1ab-763a3d278fb8", "event_id": "UUID('019d5c2e-af05-75d1-90c3-fc9a3934e815')", "total_latency_ms": 60.45, "db_insert_ms": 58.2, "redis_enqueue_ms": 58.8, "idempotency_set_ms": 60.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.639093Z"}
api-3  | {"correlation_id": "019d5c2e-af14-7904-9f68-58707b44f69a", "event_id": "UUID('019d5c2e-af15-7661-ab4b-2a25cf287759')", "total_latency_ms": 50.87, "idempotency_set_ms": 50.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.648024Z"}
api-3  | {"correlation_id": "019d5c2e-acbe-7445-a8a9-09991449a42b", "event_id": "UUID('019d5c2e-acdc-7736-b584-fcef753c70a8')", "total_latency_ms": 657.39, "db_insert_ms": 627.1, "redis_enqueue_ms": 635.1, "idempotency_set_ms": 657.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.670109Z"}
api-3  | {"correlation_id": "019d5c2e-accf-7a87-bb7e-af620eb57e25", "event_id": "UUID('019d5c2e-acd7-75f9-9044-5364e6f44c74')", "total_latency_ms": 655.9, "db_insert_ms": 631.0, "redis_enqueue_ms": 648.2, "idempotency_set_ms": 655.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.675257Z"}
api-3  | {"correlation_id": "019d5c2e-b001-7225-a9a3-f47e62309ed2", "event_id": "UUID('019d5c2e-b00b-7969-9b44-827f9ad6bc9e')", "total_latency_ms": 69.25, "db_insert_ms": 61.6, "redis_enqueue_ms": 68.6, "idempotency_set_ms": 69.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.909394Z"}
api-3  | {"correlation_id": "019d5c2e-b028-72b2-85aa-c7879918ee31", "event_id": "UUID('019d5c2e-b02d-7c31-b041-a16bc9bb5fcc')", "total_latency_ms": 65.77, "db_insert_ms": 53.8, "redis_enqueue_ms": 58.3, "idempotency_set_ms": 65.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.939371Z"}
api-3  | {"correlation_id": "019d5c2e-b085-7c9d-a8a6-0c7fc5253bc0", "event_id": "UUID('019d5c2e-b099-7a0e-a5c5-fbaec3b6a89d')", "total_latency_ms": 120.69, "db_insert_ms": 104.3, "redis_enqueue_ms": 118.6, "idempotency_set_ms": 120.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:37.091151Z"}
api-2  | {"correlation_id": "019d5c2e-a9e6-70e0-bad1-9c8008d8cbe3", "event_id": "UUID('019d5c2e-a9f5-7246-af77-4a419fea9279')", "total_latency_ms": 127.24, "db_insert_ms": 123.6, "redis_enqueue_ms": 125.9, "idempotency_set_ms": 127.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.401774Z"}
api-2  | {"correlation_id": "019d5c2e-abf7-7749-a780-6d6bb8b914b1", "event_id": "UUID('019d5c2e-ac05-719c-8e62-694b41bc55b0')", "total_latency_ms": 66.83, "redis_enqueue_ms": 53.7, "idempotency_set_ms": 66.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.872088Z"}
api-2  | {"correlation_id": "019d5c2e-ac23-7674-9835-dc8170221a61", "event_id": "UUID('019d5c2e-ac3f-7582-81b7-87e7adbe822f')", "total_latency_ms": 81.09, "db_insert_ms": 74.4, "redis_enqueue_ms": 75.3, "idempotency_set_ms": 81.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.934060Z"}
api-2  | {"correlation_id": "019d5c2e-acdb-74ad-accd-5a66c88586f0", "event_id": "UUID('019d5c2e-acf1-7c4d-bb5a-adf9f7f0509c')", "total_latency_ms": 94.06, "db_insert_ms": 91.3, "redis_enqueue_ms": 91.8, "idempotency_set_ms": 94.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.132932Z"}
api-2  | {"correlation_id": "019d5c2e-acfc-7958-a9f6-84babafa2cd5", "event_id": "UUID('019d5c2e-ad08-7245-b980-170ece306b39')", "total_latency_ms": 113.25, "db_insert_ms": 112.2, "redis_enqueue_ms": 112.7, "idempotency_set_ms": 113.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.175495Z"}
api-2  | {"correlation_id": "019d5c2e-acce-74ba-8574-ac6e11dcf0f0", "event_id": "UUID('019d5c2e-ace5-70a2-81f2-aea23854ee07')", "total_latency_ms": 158.15, "db_insert_ms": 154.9, "redis_enqueue_ms": 156.1, "idempotency_set_ms": 158.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.177194Z"}
api-2  | {"correlation_id": "019d5c2e-acb2-746e-9b4b-6ee5179bea19", "event_id": "UUID('019d5c2e-acbe-7719-a8f3-1d013911f02b')", "total_latency_ms": 213.12, "db_insert_ms": 205.0, "redis_enqueue_ms": 208.8, "idempotency_set_ms": 213.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.208711Z"}
api-2  | {"correlation_id": "019d5c2e-aca9-7d60-af64-380df7ba23cf", "event_id": "UUID('019d5c2e-acb7-720b-ac1e-e1dff187bc8c')", "total_latency_ms": 218.95, "db_insert_ms": 210.1, "redis_enqueue_ms": 213.1, "idempotency_set_ms": 218.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.210090Z"}
api-2  | {"correlation_id": "019d5c2e-aca6-7605-bcf6-47e07e14c338", "event_id": "UUID('019d5c2e-acb5-70ee-8d03-4bd3a588cbb8')", "total_latency_ms": 227.88, "db_insert_ms": 214.7, "redis_enqueue_ms": 221.2, "idempotency_set_ms": 227.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.210590Z"}
api-2  | {"correlation_id": "019d5c2e-aca2-7027-8cdf-99d00cf1d003", "event_id": "UUID('019d5c2e-aca6-7f84-bf8d-b256aea30261')", "total_latency_ms": 238.27, "db_insert_ms": 233.7, "redis_enqueue_ms": 237.4, "idempotency_set_ms": 238.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:36.210681Z"}
api-4  | {"correlation_id": "019d5c2e-a45e-7723-acd2-228316a62ae7", "event_id": "UUID('019d5c2e-a466-71d0-b32e-c6fe9c8b6c1c')", "total_latency_ms": 81.75, "db_insert_ms": 76.4, "redis_enqueue_ms": 80.7, "idempotency_set_ms": 81.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.937373Z"}
api-4  | {"correlation_id": "019d5c2e-a46f-75a1-91d1-e0c51c4cb3c7", "event_id": "UUID('019d5c2e-a482-7989-a682-b47d0926bcec')", "total_latency_ms": 88.59, "db_insert_ms": 84.0, "redis_enqueue_ms": 87.2, "idempotency_set_ms": 88.6, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.964753Z"}
api-4  | {"correlation_id": "019d5c2e-a46d-7629-8ab9-7c66be3a5031", "event_id": "UUID('019d5c2e-a481-791a-91f0-561b2b0441df')", "total_latency_ms": 98.06, "db_insert_ms": 88.4, "redis_enqueue_ms": 94.0, "idempotency_set_ms": 98.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.972695Z"}
api-4  | {"correlation_id": "019d5c2e-a46e-7ee3-8fb2-90ad34361ebb", "event_id": "UUID('019d5c2e-a480-799f-863a-60ab20c3da00')", "total_latency_ms": 104.14, "db_insert_ms": 90.6, "redis_enqueue_ms": 98.6, "idempotency_set_ms": 104.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.979757Z"}
api-4  | {"correlation_id": "019d5c2e-a4cb-7023-9978-facf2c6a141e", "event_id": "UUID('019d5c2e-a4e9-7688-a1c5-17070f0a14bc')", "total_latency_ms": 84.81, "redis_enqueue_ms": 82.0, "idempotency_set_ms": 84.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.073775Z"}
api-4  | {"correlation_id": "019d5c2e-a4c9-7fba-9455-27d1fb5b8374", "event_id": "UUID('019d5c2e-a4e8-7bd9-9a67-083101c712bb')", "total_latency_ms": 89.66, "db_insert_ms": 85.8, "redis_enqueue_ms": 88.1, "idempotency_set_ms": 89.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.075954Z"}
api-4  | {"correlation_id": "019d5c2e-a501-7cf5-92d7-bd2fa34d980a", "event_id": "UUID('019d5c2e-a517-7f12-81fb-2396661e868a')", "total_latency_ms": 69.57, "db_insert_ms": 67.4, "redis_enqueue_ms": 69.2, "idempotency_set_ms": 69.6, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.096326Z"}
api-4  | {"correlation_id": "019d5c2e-a50f-714e-b478-303f4aa5a151", "event_id": "UUID('019d5c2e-a51c-7cd2-b0f5-32e225dcfbf0')", "total_latency_ms": 56.81, "db_insert_ms": 53.7, "redis_enqueue_ms": 55.6, "idempotency_set_ms": 56.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.096923Z"}
api-4  | {"correlation_id": "019d5c2e-a4bc-7497-a3af-0e4eaff778c1", "event_id": "UUID('019d5c2e-a4d2-76bb-a3c7-251eea60aec2')", "total_latency_ms": 142.41, "db_insert_ms": 141.5, "redis_enqueue_ms": 141.9, "idempotency_set_ms": 142.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.100959Z"}
api-4  | {"correlation_id": "019d5c2e-a4da-791f-af4c-7831ce9018c0", "event_id": "UUID('019d5c2e-a4ea-7d5c-9209-f538069c70df')", "total_latency_ms": 113.43, "db_insert_ms": 112.5, "redis_enqueue_ms": 112.9, "idempotency_set_ms": 113.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.104782Z"}
api-4  | {"correlation_id": "019d5c2e-a506-74a2-bf1e-3b74688478cd", "event_id": "UUID('019d5c2e-a51a-7ecc-925e-7ec03d6e0c5a')", "total_latency_ms": 79.12, "db_insert_ms": 73.6, "redis_enqueue_ms": 74.6, "idempotency_set_ms": 79.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.112605Z"}
api-4  | {"correlation_id": "019d5c2e-a518-74dd-8356-e4b91eab37df", "event_id": "UUID('019d5c2e-a536-798c-b768-56bdfad42884')", "total_latency_ms": 152.16, "db_insert_ms": 57.6, "redis_enqueue_ms": 147.1, "idempotency_set_ms": 152.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.211189Z"}
api-4  | {"correlation_id": "019d5c2e-a5a6-7d7b-a629-cbc8703f9aea", "event_id": "UUID('019d5c2e-a5a8-721e-baca-a768957cea62')", "total_latency_ms": 55.6, "redis_enqueue_ms": 52.4, "idempotency_set_ms": 55.6, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.239084Z"}
api-4  | {"correlation_id": "019d5c2e-a522-7b13-bf62-415dbb7134a0", "event_id": "UUID('019d5c2e-a53b-70dc-bb94-67da1ec044f9')", "total_latency_ms": 171.81, "db_insert_ms": 170.9, "redis_enqueue_ms": 171.4, "idempotency_set_ms": 171.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.244962Z"}
api-4  | {"correlation_id": "019d5c2e-a887-79d3-bd67-d5254d2df0f0", "event_id": "UUID('019d5c2e-a891-7a05-ad0a-78c5f4cfb394')", "total_latency_ms": 70.92, "redis_enqueue_ms": 61.9, "idempotency_set_ms": 70.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.992106Z"}
api-4  | {"correlation_id": "019d5c2e-a88e-79dc-916c-4828adcdba06", "event_id": "UUID('019d5c2e-a89a-7733-a4f3-9655d2d9d900')", "total_latency_ms": 79.3, "db_insert_ms": 65.9, "redis_enqueue_ms": 75.4, "idempotency_set_ms": 79.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:35.015834Z"}
